"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000197",84562,5933,292041,31534,10169,0,11250,10791,146854,0.827195718139976,0.863360830255844,"FALSE","H2228","H2228","SNG"
"CELL_000198",99566,5817,278931,29374,10944,0,11450,9971,143209,0.827622565563085,0.804481505737663,"FALSE","HCC827","HCC827","SNG"
"CELL_000199",92680,7162,284170,27614,12812,0,9644,9936,144347,0.817405280274796,0.786493603158112,"FALSE","H1975","H1975","SNG"
"CELL_000200",86410,5108,290107,31605,9870,0,9297,10437,142381,0.842015437393893,0.839472904427353,"FALSE","H2228","H2228","SNG"
"CELL_000201",103702,5216,276339,26212,10681,0,8855,10055,140821,0.839803722396532,0.811292292250993,"FALSE","HCC827","HCC827","SNG"
"CELL_000202",93993,5777,280585,32672,10011,0,13693,10378,138688,0.823301222829423,0.817705870896842,"FALSE","H2228","H2228","SNG"
"CELL_000203",96586,5162,280991,27310,11918,0,11363,9777,141163,0.814583141417044,0.803510778071394,"FALSE","HCC827","HCC827","SNG"
"CELL_000204",94548,5357,285202,25724,11738,0,10899,9701,142322,0.828888014444085,0.79632096258337,"FALSE","HCC827","HCC827","SNG"
"CELL_000205",94245,5874,280965,28951,11834,0,9053,9816,138026,0.833306768229659,0.782591628925592,"FALSE","H1975","H1975","SNG"
"CELL_000206",90869,5587,283908,28723,12780,0,8216,10091,145826,0.818406868403549,0.806646221754267,"FALSE","H1975","H1975","SNG"
"CELL_000207",94819,5488,284407,25867,11095,0,8712,9719,141248,0.823735557259307,0.808556524088375,"FALSE","HCC827","HCC827","SNG"
"CELL_000208",83183,5388,287856,35005,9676,0,9329,10512,144662,0.834351799309124,0.841741380477155,"FALSE","H2228","H2228","SNG"
"CELL_000209",96343,5399,275505,32315,11062,0,9422,9581,137395,0.828458095212456,0.793900739189873,"FALSE","HCC827","HCC827","SNG"
"CELL_000210",91567,5398,281212,28946,12066,0,9233,9952,139163,0.823315105249002,0.793400487672694,"FALSE","H1975","H1975","SNG"
"CELL_000211",92141,4091,283095,26875,12794,0,8518,9808,140180,0.824340134054477,0.782529548970641,"FALSE","H1975","H1975","SNG"
"CELL_000212",88953,5743,281673,29534,11039,0,8174,9798,135627,0.838571965697201,0.811829443117562,"FALSE","H1975","H1975","SNG"
"CELL_000213",93358,5002,278527,29151,11190,0,10767,9688,142366,0.825906466373579,0.792562775342232,"FALSE","HCC827","HCC827","SNG"
"CELL_000214",92489,6264,270849,32938,12412,0,8641,10229,137166,0.825291981917874,0.798667249998742,"FALSE","H1975","H1975","SNG"
"CELL_000215",94431,5741,273381,30678,10879,0,11225,9842,138127,0.831148146211013,0.810304950494476,"FALSE","HCC827","HCC827","SNG"
"CELL_000216",91338,6916,264226,42171,9182,0,8484,9960,130060,0.840581270118362,0.804759279966225,"FALSE","H2228","H2228","SNG"
"CELL_000217",96621,7353,258494,39756,11183,0,16299,10211,128211,0.829733798127327,0.811513769371289,"FALSE","H1975","H1975","SNG"
"CELL_000218",93954,7076,265609,34127,11649,0,10135,10475,133375,0.818849109591839,0.806312966724426,"FALSE","H1975","H1975","SNG"
"CELL_000219",84172,4606,285395,28839,9568,0,9379,10131,136516,0.826188871573575,0.859613462186596,"FALSE","H2228","H2228","SNG"
"CELL_000220",87539,4251,282165,29067,9530,0,8765,10289,138509,0.844255607877881,0.837974367154888,"FALSE","H2228","H2228","SNG"
"CELL_000221",94939,8389,271220,26475,11890,0,8236,9694,137494,0.82763611497028,0.77977942457275,"FALSE","H1975","H1975","SNG"
"CELL_000222",95385,4674,276323,23913,10980,0,9702,9287,148737,0.841626495032062,0.779019290491317,"FALSE","HCC827","HCC827","SNG"
"CELL_000223",93630,5247,272463,28424,10285,0,12824,9842,136682,0.823385668864709,0.80826291623894,"FALSE","HCC827","HCC827","SNG"
"CELL_000224",92089,4158,277112,24729,12369,0,8323,9856,138397,0.830617715641913,0.793037364029758,"FALSE","H1975","H1975","SNG"
"CELL_000225",92641,5445,265115,36145,10942,0,8273,9759,133642,0.835792639975772,0.802868798516275,"FALSE","HCC827","HCC827","SNG"
"CELL_000226",94213,4279,276625,23373,10929,0,9164,9378,137729,0.822317739849827,0.802176680134418,"FALSE","HCC827","HCC827","SNG"
"CELL_000227",91000,4705,269521,31400,12097,0,6369,10051,131429,0.832647284782457,0.796878862589013,"FALSE","H1975","H1975","SNG"
"CELL_000228",86000,4284,280178,28695,10151,0,6235,9899,138146,0.833733875694285,0.812517133140508,"FALSE","H2228","H2228","SNG"
"CELL_000229",89888,4919,273370,28377,10698,0,9936,9746,138034,0.830411347868611,0.826760013709665,"FALSE","HCC827","HCC827","SNG"
"CELL_000230",89748,5196,274811,27058,11681,0,5711,9788,136071,0.835122840220538,0.795481712085476,"FALSE","H1975","H1975","SNG"
"CELL_000231",92322,4602,272542,26359,11504,0,8317,9557,140207,0.830957084822373,0.792078798342536,"FALSE","HCC827","HCC827","SNG"
"CELL_000232",92801,4990,270160,26476,11471,0,12072,9516,135902,0.816794454767642,0.793167076778335,"FALSE","HCC827","HCC827","SNG"
"CELL_000233",92853,3487,273254,24415,11645,0,8161,9688,137485,0.840818998375036,0.770585826047509,"FALSE","H1975","H1975","SNG"
"CELL_000234",103600,4971,255752,31415,9683,0,15200,9039,130879,0.835458706069311,0.763774114733906,"FALSE","HCC827","HCC827","SNG"
"CELL_000235",88263,5580,269953,30390,11271,0,7400,9968,131699,0.831608440395781,0.808502660726151,"FALSE","H1975","H1975","SNG"
"CELL_000236",95363,4593,269913,24278,10686,0,10058,9738,136968,0.832566730854465,0.810101570432395,"FALSE","HCC827","HCC827","SNG"
"CELL_000237",86971,5796,271356,32053,9063,0,9991,10393,133579,0.840948053149002,0.827180857231986,"FALSE","H2228","H2228","SNG"
"CELL_000238",84011,3552,285248,20161,12999,0,8496,9971,149450,0.812452325138009,0.797370304625607,"FALSE","H1975","H1975","SNG"
"CELL_000239",85345,4598,276715,28932,9261,0,9587,9779,136179,0.827785488156927,0.829202679620009,"FALSE","H2228","H2228","SNG"
"CELL_000240",87435,4023,280327,22209,9656,0,9058,9698,139835,0.835734973301696,0.819515799369557,"FALSE","H2228","H2228","SNG"
"CELL_000241",91031,4993,266249,31902,10370,0,9072,9560,132785,0.835885077317778,0.804006416085671,"FALSE","HCC827","HCC827","SNG"
"CELL_000242",89217,4925,267089,29767,12404,0,8349,9831,130731,0.824525169942514,0.806725198558475,"FALSE","H1975","H1975","SNG"
"CELL_000243",92645,4452,266787,25699,13214,0,9097,9710,132687,0.819100590048829,0.786331683862648,"FALSE","H1975","H1975","SNG"
"CELL_000244",99935,6633,254468,32652,9500,0,14140,9926,130354,0.822636819673916,0.788253464546277,"FALSE","HCC827","HCC827","SNG"
"CELL_000245",90182,5698,266689,29293,9984,0,10139,9830,133548,0.836530685533551,0.825231315689391,"FALSE","HCC827","HCC827","SNG"
"CELL_000246",85222,5506,260937,41030,8878,0,9438,10031,126727,0.828718426157905,0.825790808131589,"FALSE","H2228","H2228","SNG"
"CELL_000247",91354,5358,263579,30113,10999,0,10634,9980,133477,0.823924721051273,0.779812193875185,"FALSE","H1975","H1975","SNG"
"CELL_000248",91954,5460,259805,33001,10160,0,9315,9741,131701,0.828338433206404,0.802750107990819,"FALSE","HCC827","HCC827","SNG"
"CELL_000249",85289,5042,269592,29360,11234,0,7458,10333,137156,0.835829274633568,0.801576248827886,"FALSE","H1975","H1975","SNG"
"CELL_000250",81553,4918,268045,37235,8611,0,9043,10051,127878,0.838471042647017,0.854752118835756,"FALSE","H2228","H2228","SNG"
"CELL_000251",88845,4345,277157,19638,10601,0,10258,9643,137971,0.833501242954425,0.812619984444558,"FALSE","HCC827","HCC827","SNG"
"CELL_000252",92889,6350,258987,31110,9811,0,10739,9737,132782,0.837929839824831,0.787109639325387,"FALSE","HCC827","HCC827","SNG"
"CELL_000253",88057,5349,266350,28573,11541,0,11182,9670,133037,0.8223351397865,0.799018258152374,"FALSE","H1975","H1975","SNG"
"CELL_000254",87135,4897,265550,32222,8305,0,7284,9964,126970,0.839308498004307,0.836055695356722,"FALSE","H2228","H2228","SNG"
"CELL_000255",95787,5306,260604,27128,9775,0,10975,9817,137875,0.832652765125465,0.795662680278319,"FALSE","HCC827","HCC827","SNG"
"CELL_000256",92148,4536,260891,30774,10463,0,9884,9427,132476,0.83038437144612,0.789403304039728,"FALSE","HCC827","HCC827","SNG"
"CELL_000257",84083,4669,273538,22829,12790,0,6863,9748,135001,0.836260472082706,0.79897180028505,"FALSE","H1975","H1975","SNG"
"CELL_000258",87577,3860,267984,25220,11893,0,9174,9302,137741,0.821229699158477,0.801032314196041,"FALSE","H1975","H1975","SNG"
"CELL_000259",91637,5470,258013,32304,9641,0,8993,9752,127606,0.848706173624382,0.817273418391501,"FALSE","HCC827","HCC827","SNG"
"CELL_000260",86485,5593,260407,32389,11439,0,8755,10288,134329,0.824609726803251,0.808991296816674,"FALSE","H1975","H1975","SNG"
"CELL_000261",94529,4954,262142,24005,10682,0,10362,9608,146821,0.832496713628671,0.779452477543915,"FALSE","HCC827","HCC827","SNG"
"CELL_000262",82051,5229,265890,34055,8991,0,8484,10076,132779,0.835177249351541,0.836721105240956,"FALSE","H2228","H2228","SNG"
"CELL_000263",94316,4622,259320,26476,10413,0,9646,9637,131213,0.848391546504661,0.794799235228275,"FALSE","HCC827","HCC827","SNG"
"CELL_000264",86383,6475,261014,28609,12417,0,9822,9953,131329,0.822385002488225,0.802701550860697,"FALSE","H1975","H1975","SNG"
"CELL_000265",86386,4198,264226,28249,11322,0,6860,9761,131675,0.83277007777993,0.80842219036095,"FALSE","H1975","H1975","SNG"
"CELL_000266",90249,3928,266395,24041,10354,0,7822,9107,129460,0.832280240936793,0.798779484104783,"FALSE","HCC827","HCC827","SNG"
"CELL_000267",89383,4880,260130,28367,10751,0,12414,9498,132119,0.823023183582753,0.801262437555353,"FALSE","HCC827","HCC827","SNG"
"CELL_000268",93885,5292,251404,31262,10977,0,9931,10125,124233,0.82990026797792,0.784091120387408,"FALSE","H1975","H1975","SNG"
"CELL_000269",88849,5053,256166,33340,10284,0,9945,9784,132654,0.834637477887238,0.796575994951076,"FALSE","HCC827","HCC827","SNG"
"CELL_000270",89330,5433,261042,26379,10323,0,10609,9390,130031,0.822842245247453,0.796356192265214,"FALSE","HCC827","HCC827","SNG"
"CELL_000271",90483,5331,257488,30191,9860,0,8760,9451,130161,0.848372400269791,0.789890920483792,"FALSE","HCC827","HCC827","SNG"
"CELL_000272",92394,3956,257569,28748,9991,0,9703,9527,129906,0.823233722782378,0.809323602503071,"FALSE","HCC827","HCC827","SNG"
"CELL_000273",85534,4815,257469,35479,8880,0,8476,10185,128705,0.819206712962262,0.801476181851818,"FALSE","H2228","H2228","SNG"
"CELL_000274",85094,4735,260359,29949,11366,0,8703,9868,127406,0.846663422378329,0.819537477078201,"FALSE","H1975","H1975","SNG"
"CELL_000275",90339,4928,261310,25021,10992,0,8815,9249,131296,0.838662259258571,0.783770961509036,"FALSE","HCC827","HCC827","SNG"
"CELL_000276",87396,3097,267608,22076,10741,0,8199,9623,132732,0.829988246931412,0.78604249268884,"FALSE","H1975","H1975","SNG"
"CELL_000277",90947,5228,255148,28151,10186,0,12234,9666,126941,0.818907996563844,0.793132180057493,"FALSE","HCC827","HCC827","SNG"
"CELL_000278",83870,6309,252911,38767,8388,0,8230,9603,122140,0.832462747598456,0.815400293482864,"FALSE","H2228","H2228","SNG"
"CELL_000279",94257,5773,252416,28624,9477,0,11911,9539,133415,0.826623692926086,0.797968684333195,"FALSE","HCC827","HCC827","SNG"
"CELL_000280",83715,4204,261176,31373,8702,0,8410,9595,124917,0.83465821298665,0.821409350095716,"FALSE","H2228","H2228","SNG"
"CELL_000281",88817,4767,259940,26137,10987,0,8168,9420,131516,0.836210042820934,0.791432160996977,"FALSE","HCC827","HCC827","SNG"
"CELL_000282",83624,5293,255131,36868,8444,0,12328,9806,124616,0.827526160298234,0.825295240956599,"FALSE","H2228","H2228","SNG"
"CELL_000283",88108,5219,259237,26792,10609,0,12831,10002,134846,0.816620441035209,0.801343695671826,"FALSE","HCC827","HCC827","SNG"
"CELL_000284",88561,5079,257598,28224,10046,0,8700,9811,128077,0.838245742729901,0.807108160941609,"FALSE","HCC827","HCC827","SNG"
"CELL_000285",88112,5435,258926,25891,10812,0,8966,9565,127458,0.831866183304942,0.806838267755789,"FALSE","HCC827","HCC827","SNG"
"CELL_000286",91200,5521,245023,35561,10849,0,9287,9767,120470,0.844542209608654,0.792769918422021,"FALSE","H1975","H1975","SNG"
"CELL_000287",87511,4159,258582,26027,10831,0,8329,9634,131490,0.828663776650037,0.782964424445629,"FALSE","H1975","H1975","SNG"
"CELL_000288",83895,5673,258488,28581,11486,0,8713,10008,126822,0.838040718421249,0.812824209299316,"FALSE","H1975","H1975","SNG"
"CELL_000289",88180,4715,262008,22816,10818,0,9992,9453,132847,0.820711043469502,0.805174312918296,"FALSE","HCC827","HCC827","SNG"
"CELL_000290",81975,6833,251998,33848,11069,0,11767,10103,126462,0.827877148801389,0.817336368447726,"FALSE","H1975","H1975","SNG"
"CELL_000291",85811,6163,254412,29897,9270,0,12895,10217,131367,0.825237692812865,0.80715850958319,"FALSE","H2228","H2228","SNG"
"CELL_000292",80886,4884,256159,35087,8510,0,9354,9853,124461,0.827905930305244,0.831569661856352,"FALSE","H2228","H2228","SNG"
"CELL_000293",86663,3600,261000,22455,10808,0,9249,9685,134197,0.823803810754055,0.794771806018629,"FALSE","H1975","H1975","SNG"
"CELL_000294",86702,4623,254352,29444,10266,0,10124,9502,129145,0.832475124795193,0.79605863207568,"FALSE","HCC827","HCC827","SNG"
"CELL_000295",79144,4476,270594,17771,11565,0,8072,9580,138438,0.818590271398128,0.809792050608066,"FALSE","H1975","H1975","SNG"
"CELL_000296",82681,5324,258315,26636,11584,0,5153,10187,128287,0.827028459561216,0.801172308872114,"FALSE","H1975","H1975","SNG"
"CELL_000297",88357,6489,244541,32284,10964,0,12459,10166,127746,0.816604825136082,0.795242058832209,"FALSE","H1975","H1975","SNG"
"CELL_000298",87182,4843,247826,31603,10877,0,9574,9847,123755,0.834414771052934,0.786586336989509,"FALSE","H1975","H1975","SNG"
"CELL_000299",85465,8635,247736,30947,10930,0,10647,9802,125587,0.816915763509207,0.803442967548953,"FALSE","H1975","H1975","SNG"
"CELL_000300",91430,4592,256140,20489,10105,0,10080,9548,131326,0.834495834729262,0.799597886207005,"FALSE","HCC827","HCC827","SNG"
"CELL_000301",83848,5832,246760,35532,10103,0,8621,9460,124912,0.82731843211002,0.795407903531454,"FALSE","HCC827","HCC827","SNG"
"CELL_000302",93449,4679,251572,21448,9935,0,7219,9667,134655,0.828643570544826,0.809349759804704,"FALSE","HCC827","HCC827","SNG"
"CELL_000303",89135,3405,257771,20661,10078,0,8940,9303,131671,0.830600511818806,0.802644408970509,"FALSE","HCC827","HCC827","SNG"
"CELL_000304",86893,3979,256263,20759,10389,0,7794,9430,133285,0.833327081004365,0.801507986532019,"FALSE","HCC827","HCC827","SNG"
"CELL_000305",85711,4613,247592,30527,10041,0,7571,9996,121104,0.830839608862561,0.79468879684496,"FALSE","H1975","H1975","SNG"
"CELL_000306",90299,3557,251081,22128,10621,0,12676,9255,130061,0.829895202956313,0.755806832501147,"FALSE","H1975","H1975","SNG"
"CELL_000307",79492,4277,258471,26310,8592,0,12410,9786,123194,0.815120866209789,0.851226451675694,"FALSE","H2228","H2228","SNG"
"CELL_000308",81625,6128,247358,34641,8400,0,10564,9479,120808,0.831310840272887,0.819349644117141,"FALSE","H2228","H2228","SNG"
"CELL_000309",90974,5068,244701,28009,10183,0,12674,9532,125243,0.828517362181638,0.785568791423969,"FALSE","HCC827","HCC827","SNG"
"CELL_000310",85840,5818,241190,34994,9658,0,11507,9538,122880,0.819108072850007,0.801505468627485,"FALSE","H1975","H1975","SNG"
"CELL_000311",79509,6404,244738,38143,8379,0,12932,10467,124512,0.829446157733436,0.837469413593114,"FALSE","H2228","H2228","SNG"
"CELL_000312",86099,5097,254375,21222,10068,0,9334,9461,133731,0.831617201633756,0.802783139078961,"FALSE","HCC827","HCC827","SNG"
"CELL_000313",77375,5982,244940,40144,8379,0,7609,10133,121161,0.836325220092577,0.845115107574623,"FALSE","H2228","H2228","SNG"
"CELL_000314",82549,4644,254269,24342,10631,0,8540,9380,131370,0.826832610122035,0.798964695214684,"FALSE","H1975","H1975","SNG"
"CELL_000315",82743,3996,253914,27340,8760,0,8135,9252,125072,0.829961941855095,0.809317768220084,"FALSE","H2228","H2228","SNG"
"CELL_000316",85417,4212,248832,28108,9061,0,12032,9382,125595,0.828074365951823,0.815932097939241,"FALSE","HCC827","HCC827","SNG"
"CELL_000317",82654,4395,250057,29697,8693,0,9011,9849,130410,0.825059427894712,0.806096096457626,"FALSE","H2228","H2228","SNG"
"CELL_000318",86416,4960,248986,24213,10624,0,11860,9148,125537,0.836430693673066,0.797382381498492,"FALSE","HCC827","HCC827","SNG"
"CELL_000319",81380,5307,241816,37453,7999,0,12258,10252,122364,0.826860841356374,0.832548720820771,"FALSE","H2228","H2228","SNG"
"CELL_000320",90063,5155,240521,27666,9362,0,9530,9213,122354,0.844124425777324,0.770273078912575,"FALSE","HCC827","HCC827","SNG"
"CELL_000321",83868,6652,229681,42360,10278,0,13310,10348,117292,0.796601643692954,0.830354940630653,"FALSE","H1975","H1975","SNG"
"CELL_000322",78420,5281,248192,33012,8228,0,10922,9976,121874,0.831071434364091,0.838456041612153,"FALSE","H2228","H2228","SNG"
"CELL_000323",85394,4049,253177,20974,9338,0,10706,9372,127366,0.831163732799086,0.803518929422379,"FALSE","HCC827","HCC827","SNG"
"CELL_000324",79487,4159,260626,16892,10994,0,7264,9807,125598,0.823508336054435,0.830634179633897,"FALSE","H1975","H1975","SNG"
"CELL_000325",81338,4876,244748,34736,7878,0,12381,10034,120186,0.826019669443528,0.826202650375031,"FALSE","H2228","H2228","SNG"
"CELL_000326",82365,5233,244225,32149,9033,0,11127,9839,122784,0.835019220677367,0.815317890334417,"FALSE","HCC827","HCC827","SNG"
"CELL_000327",82454,4001,251043,24910,9422,0,8046,9576,125435,0.856937856191897,0.805365264450491,"FALSE","H1975","H1975","SNG"
"CELL_000328",85612,4487,246864,24935,9754,0,12657,9337,122743,0.824226228719827,0.805072321429954,"FALSE","HCC827","HCC827","SNG"
"CELL_000329",84139,4079,248704,24555,10066,0,9743,9173,128115,0.824540451873353,0.795948889985647,"FALSE","HCC827","HCC827","SNG"
"CELL_000330",75422,4833,253247,29810,8450,0,8758,10092,128274,0.835734443391823,0.849283498660407,"FALSE","H2228","H2228","SNG"
"CELL_000331",82520,4645,251605,22566,10983,0,6799,9530,126743,0.814814230307408,0.793369196455095,"FALSE","H1975","H1975","SNG"
"CELL_000332",78158,4942,252665,27299,8157,0,10378,9874,124310,0.832957927694235,0.838999208511044,"FALSE","H2228","H2228","SNG"
"CELL_000333",79602,5905,240857,37777,7773,0,8362,10195,122570,0.833466590451704,0.836836025386634,"FALSE","H2228","H2228","SNG"
"CELL_000334",85058,4761,247076,24143,9383,0,9955,9601,122156,0.835472674216946,0.800869314575681,"FALSE","HCC827","HCC827","SNG"
"CELL_000335",78087,5296,239972,39323,7358,0,6383,9875,116315,0.844456862756785,0.839702459725533,"FALSE","H2228","H2228","SNG"
"CELL_000336",79316,3544,250848,27555,8649,0,7936,9458,126290,0.828078232573594,0.816367026972284,"FALSE","H2228","H2228","SNG"
"CELL_000337",83800,5281,238225,35004,8145,0,10006,9894,113781,0.8291103083266,0.820189590512512,"FALSE","H2228","H2228","SNG"
"CELL_000338",76230,4638,246466,34906,8156,0,7305,10006,118881,0.824244412410373,0.845357891895434,"FALSE","H2228","H2228","SNG"
"CELL_000339",84100,4958,240238,33100,8146,0,9178,9919,121020,0.824268715846615,0.829201716311212,"FALSE","H2228","H2228","SNG"
"CELL_000340",83313,4108,243325,30823,8453,0,9985,9716,118860,0.831945145479392,0.811315765495897,"FALSE","H2228","H2228","SNG"
"CELL_000341",80885,3439,259269,15223,10287,0,7608,9332,130104,0.836745987760811,0.811273995321128,"FALSE","HCC827","HCC827","SNG"
"CELL_000342",82608,5172,242251,27621,10964,0,8175,9571,121121,0.832580642429258,0.790837196618489,"FALSE","H1975","H1975","SNG"
"CELL_000343",83255,5051,243842,26994,10804,0,9810,9742,124046,0.83086113209367,0.796389984651663,"FALSE","H1975","H1975","SNG"
"CELL_000344",81736,5841,240768,29347,10686,0,7331,9746,122987,0.831250457297824,0.802556302490808,"FALSE","H1975","H1975","SNG"
"CELL_000345",80973,5513,238249,36837,7697,0,12687,10074,120160,0.829610519238548,0.826256589026582,"FALSE","H2228","H2228","SNG"
"CELL_000346",87707,4438,243396,23238,9359,0,7754,9401,125617,0.839934085287825,0.792559861120719,"FALSE","HCC827","HCC827","SNG"
"CELL_000347",78554,4864,243561,31720,8336,0,10332,9593,116661,0.822031355738247,0.843718051129508,"FALSE","H2228","H2228","SNG"
"CELL_000348",80627,4007,247724,23993,10600,0,8780,9706,125798,0.823574301592746,0.784145949526547,"FALSE","H1975","H1975","SNG"
"CELL_000349",79368,5396,244780,25610,11250,0,6702,9826,123925,0.833705870418906,0.795803849440884,"FALSE","H1975","H1975","SNG"
"CELL_000350",77413,4679,246648,27965,8297,0,7805,9671,119371,0.834851010644558,0.846704740120738,"FALSE","H2228","H2228","SNG"
"CELL_000351",83428,4566,242650,24964,9349,0,7836,9476,120875,0.838982419785813,0.80195236385089,"FALSE","HCC827","HCC827","SNG"
"CELL_000352",88793,4720,230816,31855,8966,0,8265,9082,117232,0.847720758764866,0.769602090760024,"FALSE","HCC827","HCC827","SNG"
"CELL_000353",88428,5103,239371,21571,10026,0,5564,9505,124222,0.837073948186547,0.822978150168396,"FALSE","HCC827","HCC827","SNG"
"CELL_000354",84327,4591,242352,24390,10198,0,9450,9330,126028,0.829299838065406,0.795838956752551,"FALSE","HCC827","HCC827","SNG"
"CELL_000355",77955,5425,241775,33042,8149,0,10726,9686,120763,0.821145549479464,0.820226325925464,"FALSE","H2228","H2228","SNG"
"CELL_000356",79485,4707,247838,21199,11231,0,9308,9363,123599,0.815831843233697,0.804860815632747,"FALSE","H1975","H1975","SNG"
"CELL_000357",80548,4700,243027,28612,8035,0,9466,9583,115024,0.829026985600481,0.83010494939274,"FALSE","H2228","H2228","SNG"
"CELL_000358",83631,4869,237883,27050,9570,0,11806,9452,118822,0.820849674233656,0.804438504280478,"FALSE","HCC827","HCC827","SNG"
"CELL_000359",77633,4892,242089,29111,8286,0,9854,9971,120627,0.828562427911781,0.831198584794566,"FALSE","H2228","H2228","SNG"
"CELL_000360",76450,5137,240951,31310,7853,0,8348,9525,117927,0.830233958225832,0.821508151525253,"FALSE","H2228","H2228","SNG"
"CELL_000361",76678,5362,243081,27112,8794,0,8405,9905,121964,0.832147190906157,0.819126888333698,"FALSE","H2228","H2228","SNG"
"CELL_000362",75927,4518,243753,29652,7531,0,9196,10418,120077,0.851953329875667,0.83296544442604,"FALSE","H2228","H2228","SNG"
"CELL_000363",77604,5998,232828,37050,7404,0,7437,9637,114546,0.835184118097953,0.83979354671542,"FALSE","H2228","H2228","SNG"
"CELL_000364",82758,5980,230823,30765,10860,0,9744,9824,116808,0.818462776452087,0.792822341550036,"FALSE","H1975","H1975","SNG"
"CELL_000365",80929,3686,244267,21322,9741,0,7708,9187,125687,0.826211143489286,0.792540136009282,"FALSE","HCC827","HCC827","SNG"
"CELL_000366",83531,4972,239296,22035,9934,0,8407,9074,120082,0.839509668323353,0.802709748112977,"FALSE","HCC827","HCC827","SNG"
"CELL_000367",79610,5141,234749,30973,9717,0,13135,9488,118974,0.819061307443722,0.81971684404014,"FALSE","HCC827","HCC827","SNG"
"CELL_000368",75697,4953,234069,36780,7331,0,8170,9703,112509,0.83831515693515,0.847621003864491,"FALSE","H2228","H2228","SNG"
"CELL_000369",84308,4244,234841,25794,9040,0,10727,9131,122117,0.825609865880622,0.803074035304336,"FALSE","HCC827","HCC827","SNG"
"CELL_000370",79214,5228,242208,21180,9499,0,8637,9477,124322,0.837092389051246,0.821616381524076,"FALSE","HCC827","HCC827","SNG"
"CELL_000371",83174,5332,231512,29364,9283,0,11130,9201,114158,0.830997389510065,0.80324630746454,"FALSE","HCC827","HCC827","SNG"
"CELL_000372",75836,4184,239752,27021,10409,0,9003,9363,122135,0.817734474080506,0.799901682572425,"FALSE","H1975","H1975","SNG"
"CELL_000373",80888,5367,237676,23848,9006,0,11055,9332,118227,0.825234506430406,0.798590778875318,"FALSE","HCC827","HCC827","SNG"
"CELL_000374",76063,5573,230946,35979,8281,0,6246,9737,111087,0.838153879316378,0.852268865639646,"FALSE","H2228","H2228","SNG"
"CELL_000375",82622,3747,237382,23262,9611,0,7292,8844,122185,0.830576584619178,0.794328207690943,"FALSE","HCC827","HCC827","SNG"
"CELL_000376",78065,3814,240664,25184,7806,0,7184,9342,115657,0.835435814448288,0.825501195301521,"FALSE","H2228","H2228","SNG"
"CELL_000377",82315,6382,227194,30051,10036,0,9224,9550,114092,0.835246993581036,0.794875995260317,"FALSE","H1975","H1975","SNG"
"CELL_000378",76379,3936,240704,27462,8065,0,8922,9646,116896,0.82846290712869,0.827958114224771,"FALSE","H2228","H2228","SNG"
"CELL_000379",77170,4428,237418,28064,7565,0,10975,9386,117994,0.832398257467973,0.835144089094014,"FALSE","H2228","H2228","SNG"
"CELL_000380",81814,4533,239381,20413,9261,0,12560,9405,127081,0.820673428693457,0.80921610553772,"FALSE","HCC827","HCC827","SNG"
"CELL_000381",81423,3876,235017,24376,9402,0,10140,9442,121305,0.82527513286136,0.800065883511324,"FALSE","HCC827","HCC827","SNG"
"CELL_000382",80551,4941,233682,25257,10465,0,8297,9791,121032,0.824211778635054,0.787279332137011,"FALSE","H1975","H1975","SNG"
"CELL_000383",87183,5025,225482,27803,8954,0,9132,9143,111657,0.829997223565921,0.791844596232695,"FALSE","HCC827","HCC827","SNG"
"CELL_000384",81096,4566,231846,27477,9486,0,10396,9668,129647,0.827223152033813,0.790060642354961,"FALSE","HCC827","HCC827","SNG"
"CELL_000385",79175,4569,223923,37562,8805,0,13661,9466,113736,0.820153689173159,0.821111976760922,"FALSE","HCC827","HCC827","SNG"
"CELL_000386",74391,4225,239010,28246,7479,0,8923,9543,120944,0.834419235279599,0.834981409992938,"FALSE","H2228","H2228","SNG"
"CELL_000387",82991,6944,221320,31166,9661,0,9115,9704,114034,0.824219092479066,0.784143256910811,"FALSE","H1975","H1975","SNG"
"CELL_000388",81926,4708,232392,24817,8886,0,10410,8997,118655,0.829370865043245,0.777346021883105,"FALSE","HCC827","HCC827","SNG"
"CELL_000389",76484,4695,238068,22381,11108,0,4379,9770,119594,0.834598725618794,0.809856614056172,"FALSE","H1975","H1975","SNG"
"CELL_000390",78715,4297,229854,30039,8889,0,8544,9217,116443,0.824944393323347,0.806334360473849,"FALSE","HCC827","HCC827","SNG"
"CELL_000391",83728,3468,234749,20603,9740,0,6299,8699,120462,0.836869718181927,0.755574309278087,"FALSE","HCC827","HCC827","SNG"
"CELL_000392",72903,5017,228361,38455,7214,0,7704,9855,113281,0.838340056952327,0.844298616334724,"FALSE","H2228","H2228","SNG"
"CELL_000393",77967,5585,224366,35917,7502,0,13301,9795,110845,0.823374983010206,0.844422315447488,"FALSE","H2228","H2228","SNG"
"CELL_000394",73339,4598,235927,29110,7741,0,9716,9223,115312,0.837857291449471,0.849547241436516,"FALSE","H2228","H2228","SNG"
